crd,vel,time
-0.205016,0.517417,64
-0.149519,0.588822,64.1
-0.0880351,0.636769,64.2
-0.023013,0.659344,64.3
0.042956,0.655643,64.4
0.107243,0.625811,64.5
0.167285,0.571033,64.6
0.220689,0.493491,64.7
0.265326,0.396273,64.8
0.299416,0.283251,64.9
0.321599,0.158929,65
0.330989,0.0282604,65.1
0.327213,-0.103549,65.2
0.310417,-0.231246,65.3
0.281271,-0.349742,65.4
0.240934,-0.454315,65.5
0.191012,-0.540798,65.6
0.133493,-0.605744,65.7
0.070669,-0.646566,65.8
0.00504048,-0.661636,65.9
-0.0607781,-0.650356,66
-0.124166,-0.613175,66.1
-0.182597,-0.551575,66.2
-0.233747,-0.468012,66.3
-0.275577,-0.365818,66.4
-0.306424,-0.249065,66.5
-0.32506,-0.122407,66.6
-0.330743,0.00910685,66.7
-0.323251,0.140235,66.8
-0.302884,0.265752,66.9
-0.270455,0.380655,67
-0.22726,0.480365,67.1
-0.175022,0.560909,67.2
-0.115825,0.619079,67.3
-0.0520312,0.652556,67.4
0.0138165,0.660009,67.5
0.0790916,0.641144,67.6
0.141191,0.596713,67.7
0.19764,0.528492,67.8
0.246186,0.439202,67.9
0.284895,0.332404,68
0.312224,0.21236,68.1
0.327084,0.0838562,68.2
0.328884,-0.0479818,68.3
0.317552,-0.177896,68.4
0.293542,-0.300706,68.5
0.257812,-0.411514,68.6
0.211788,-0.505901,68.7
0.157306,-0.580103,68.8
0.0965401,-0.63116,68.9
0.0319148,-0.657037,69
-0.0339918,-0.656701,69.1
-0.0985504,-0.630165,69.2
-0.159185,-0.578487,69.3
-0.213477,-0.503727,69.4
-0.259259,-0.408866,69.5
-0.294705,-0.297685,69.6
-0.318399,-0.174618,69.7
-0.329395,-0.044572,69.8
-0.327253,0.0872679,69.9
-0.312057,0.215645,70
-0.284411,0.335439,70.1
-0.245416,0.441874,70.2
-0.196624,0.530705,70.3
-0.139981,0.598388,70.4
-0.0777432,0.642225,70.5
-0.012391,0.660466,70.6
0.0534708,0.652382,70.7
0.117217,0.618294,70.8
0.176306,0.559558,70.9
0.228383,0.478515,71
0.271372,0.378395,71.1
0.303558,0.263186,71.2
0.323659,0.137481,71.3
0.330871,0.00628952,71.4
0.324908,-0.12516,71.5
0.306006,-0.251628,71.6
0.274917,-0.368073,71.7
0.232881,-0.469856,71.8
0.181571,-0.552918,71.9
0.123033,-0.61395,72
0.0595983,-0.650518,72.1
-0.00620493,-0.661165,72.2
-0.0717548,-0.645468,72.3
-0.13444,-0.604053,72.4
-0.191761,-0.538569,72.5
-0.241437,-0.45163,72.6
-0.281486,-0.346699,72.7
-0.310315,-0.227959,72.8
-0.326775,-0.100146,72.9
-0.330211,0.0316479,73
-0.320488,0.162168,73.1
-0.297994,0.286211,73.2
-0.263627,0.398834,73.3
-0.218758,0.495548,73.4
-0.165178,0.572497,73.5
-0.105022,0.626615,73.6
-0.0406894,0.655746,73.7
0.025254,0.658729,73.8
0.0901791,0.635448,73.9
0.151497,0.586831,74
0.206764,0.514817,74.1
0.253775,0.422279,74.2
0.290657,0.312908,74.3
0.31594,0.191064,74.4
0.328616,0.0616069,74.5
0.328179,-0.070302,74.6
0.314649,-0.199403,74.7
0.288565,-0.320547,74.8
0.250967,-0.428906,74.9
0.203355,-0.520157,75
0.147628,-0.590662,75.1
0.0860093,-0.637611,75.2
0.0209556,-0.65913,75.3
-0.0449386,-0.654362,75.4
-0.109045,-0.623496,75.5
-0.168807,-0.567763,75.6
-0.221841,-0.489385,75.7
-0.266032,-0.391486,75.8
-0.299617,-0.27797,75.9
-0.321255,-0.153362,76
-0.330085,-0.0226305,76.1
-0.325751,0.109012,76.2
-0.308427,0.236317,76.3
-0.278802,0.354209,76.4
-0.238056,0.457987,76.5
-0.187814,0.543513,76.6
-0.130077,0.607377,76.7
-0.0671474,0.647031,76.8
